outcome_normalized,completion_period,outcome_trial_count,period_trial_count,percentage
TIME TO NEXT TREATMENT,2016-2020,24,22670,0.1059
TIME TO NEXT TREATMENT,2021-2025,66,18711,0.3527
TIME TO PROGRESSION,2006-2010,164,10330,1.5876
TIME TO PROGRESSION,2011-2015,306,19618,1.5598
TIME TO PROGRESSION,2016-2020,243,22670,1.0719
TIME TO PROGRESSION,2021-2025,180,18711,0.9620
TIME TO PSA PROGRESSION,2006-2010,6,10330,0.0581
TIME TO PSA PROGRESSION,2011-2015,18,19618,0.0918
TIME TO PSA PROGRESSION,2016-2020,30,22670,0.1323
TIME TO PSA PROGRESSION,2021-2025,35,18711,0.1871
TIME TO RELAPSE,2006-2010,12,10330,0.1162
TIME TO RELAPSE,2011-2015,27,19618,0.1376
TIME TO RELAPSE,2016-2020,32,22670,0.1412
TIME TO RELAPSE,2021-2025,16,18711,0.0855
TIME TO RESPONSE,2006-2010,53,10330,0.5131
TIME TO RESPONSE,2011-2015,80,19618,0.4078
TIME TO RESPONSE,2016-2020,123,22670,0.5426
TIME TO RESPONSE,2021-2025,198,18711,1.0582
TIME TO TREATMENT FAILURE,2006-2010,64,10330,0.6196
TIME TO TREATMENT FAILURE,2011-2015,99,19618,0.5046
TIME TO TREATMENT FAILURE,2016-2020,73,22670,0.3220
TIME TO TREATMENT FAILURE,2021-2025,45,18711,0.2405
TIME TO TUMOR PROGRESSION,2006-2010,29,10330,0.2807
TIME TO TUMOR PROGRESSION,2011-2015,28,19618,0.1427
TIME TO TUMOR PROGRESSION,2016-2020,15,22670,0.0662
TIME TO TUMOR PROGRESSION,2021-2025,11,18711,0.0588
TIMED UP AND GO TEST,2006-2010,1,10330,0.0097
TIMED UP AND GO TEST,2011-2015,10,19618,0.0510
TIMED UP AND GO TEST,2016-2020,22,22670,0.0970
TIMED UP AND GO TEST,2021-2025,15,18711,0.0802
TOTAL ADVERSE EVENTS SUMMARY,2006-2010,29,10330,0.2807
TOTAL ADVERSE EVENTS SUMMARY,2011-2015,54,19618,0.2753
TOTAL ADVERSE EVENTS SUMMARY,2016-2020,42,22670,0.1853
TOTAL ADVERSE EVENTS SUMMARY,2021-2025,29,18711,0.1550
TOTAL BODY CLEARANCE,2006-2010,13,10330,0.1258
TOTAL BODY CLEARANCE,2011-2015,24,19618,0.1223
TOTAL BODY CLEARANCE,2016-2020,34,22670,0.1500
TOTAL BODY CLEARANCE,2021-2025,42,18711,0.2245
TOTAL OPIOID CONSUMPTION,2006-2010,2,10330,0.0194
TOTAL OPIOID CONSUMPTION,2011-2015,8,19618,0.0408
TOTAL OPIOID CONSUMPTION,2016-2020,26,22670,0.1147
TOTAL OPIOID CONSUMPTION,2021-2025,21,18711,0.1122
TOTAL SERIOUS ADVERSE EVENTS SUMMARY,2006-2010,18,10330,0.1742
TOTAL SERIOUS ADVERSE EVENTS SUMMARY,2011-2015,16,19618,0.0816
TOTAL SERIOUS ADVERSE EVENTS SUMMARY,2016-2020,19,22670,0.0838
TOTAL SERIOUS ADVERSE EVENTS SUMMARY,2021-2025,12,18711,0.0641
TOTAL SLEEP TIME,2006-2010,20,10330,0.1936
TOTAL SLEEP TIME,2011-2015,18,19618,0.0918
TOTAL SLEEP TIME,2016-2020,26,22670,0.1147
TOTAL SLEEP TIME,2021-2025,15,18711,0.0802
TRANSPLANT-RELATED MORTALITY,2006-2010,5,10330,0.0484
TRANSPLANT-RELATED MORTALITY,2011-2015,13,19618,0.0663
TRANSPLANT-RELATED MORTALITY,2016-2020,16,22670,0.0706
TRANSPLANT-RELATED MORTALITY,2021-2025,14,18711,0.0748
TREATMENT ADHERENCE RATE,2006-2010,35,10330,0.3388
TREATMENT ADHERENCE RATE,2011-2015,63,19618,0.3211
TREATMENT ADHERENCE RATE,2016-2020,109,22670,0.4808
TREATMENT ADHERENCE RATE,2021-2025,115,18711,0.6146
TREATMENT DISCONTINUATION RATE,2006-2010,11,10330,0.1065
TREATMENT DISCONTINUATION RATE,2011-2015,16,19618,0.0816
TREATMENT DISCONTINUATION RATE,2016-2020,12,22670,0.0529
TREATMENT DISCONTINUATION RATE,2021-2025,15,18711,0.0802
TREATMENT SATISFACTION,2006-2010,12,10330,0.1162
TREATMENT SATISFACTION,2011-2015,17,19618,0.0867
TREATMENT SATISFACTION,2016-2020,36,22670,0.1588
TREATMENT SATISFACTION,2021-2025,37,18711,0.1977
TREATMENT SUCCESS,2006-2010,3,10330,0.0290
TREATMENT SUCCESS,2011-2015,13,19618,0.0663
TREATMENT SUCCESS,2016-2020,19,22670,0.0838
TREATMENT SUCCESS,2021-2025,9,18711,0.0481
TREATMENT-RELATED MORTALITY,2006-2010,8,10330,0.0774
TREATMENT-RELATED MORTALITY,2011-2015,22,19618,0.1121
TREATMENT-RELATED MORTALITY,2016-2020,35,22670,0.1544
TREATMENT-RELATED MORTALITY,2021-2025,27,18711,0.1443
TROUGH CONCENTRATION,2006-2010,26,10330,0.2517
TROUGH CONCENTRATION,2011-2015,42,19618,0.2141
TROUGH CONCENTRATION,2016-2020,99,22670,0.4367
TROUGH CONCENTRATION,2021-2025,125,18711,0.6681
TROUGH FEV1,2006-2010,26,10330,0.2517
TROUGH FEV1,2011-2015,20,19618,0.1019
TROUGH FEV1,2016-2020,11,22670,0.0485
TROUGH PLASMA CONCENTRATION,2006-2010,16,10330,0.1549
TROUGH PLASMA CONCENTRATION,2011-2015,22,19618,0.1121
TROUGH PLASMA CONCENTRATION,2016-2020,49,22670,0.2161
TROUGH PLASMA CONCENTRATION,2021-2025,39,18711,0.2084
TUMOR RESPONSE,2006-2010,17,10330,0.1646
TUMOR RESPONSE,2011-2015,22,19618,0.1121
TUMOR RESPONSE,2016-2020,25,22670,0.1103
TUMOR RESPONSE,2021-2025,11,18711,0.0588
TUMOR RESPONSE RATE,2006-2010,19,10330,0.1839
TUMOR RESPONSE RATE,2011-2015,36,19618,0.1835
TUMOR RESPONSE RATE,2016-2020,25,22670,0.1103
TUMOR RESPONSE RATE,2021-2025,8,18711,0.0428
VACCINE RESPONSE RATE,2006-2010,27,10330,0.2614
VACCINE RESPONSE RATE,2011-2015,13,19618,0.0663
VACCINE RESPONSE RATE,2016-2020,8,22670,0.0353
VACCINE RESPONSE RATE,2021-2025,6,18711,0.0321
VAS PAIN SCORE,2006-2010,4,10330,0.0387
VAS PAIN SCORE,2011-2015,25,19618,0.1274
VAS PAIN SCORE,2016-2020,41,22670,0.1809
VAS PAIN SCORE,2021-2025,31,18711,0.1657
VENTILATOR-FREE DAYS,2006-2010,6,10330,0.0581
VENTILATOR-FREE DAYS,2011-2015,6,19618,0.0306
VENTILATOR-FREE DAYS,2016-2020,21,22670,0.0926
VENTILATOR-FREE DAYS,2021-2025,18,18711,0.0962
VIRAL SUPPRESSION RATE,2006-2010,20,10330,0.1936
VIRAL SUPPRESSION RATE,2011-2015,36,19618,0.1835
VIRAL SUPPRESSION RATE,2016-2020,25,22670,0.1103
VIRAL SUPPRESSION RATE,2021-2025,45,18711,0.2405
VISUAL ACUITY,2006-2010,15,10330,0.1452
VISUAL ACUITY,2011-2015,19,19618,0.0968
VISUAL ACUITY,2016-2020,26,22670,0.1147
VISUAL ACUITY,2021-2025,13,18711,0.0695
VITAL SIGNS SUMMARY,2006-2010,4,10330,0.0387
VITAL SIGNS SUMMARY,2011-2015,12,19618,0.0612
VITAL SIGNS SUMMARY,2016-2020,23,22670,0.1015
VITAL SIGNS SUMMARY,2021-2025,13,18711,0.0695
VOLUME OF DISTRIBUTION,2006-2010,55,10330,0.5324
VOLUME OF DISTRIBUTION,2011-2015,135,19618,0.6881
VOLUME OF DISTRIBUTION,2016-2020,232,22670,1.0234
VOLUME OF DISTRIBUTION,2021-2025,161,18711,0.8605
VOLUME OF DISTRIBUTION AT STEADY STATE,2006-2010,19,10330,0.1839
VOLUME OF DISTRIBUTION AT STEADY STATE,2011-2015,32,19618,0.1631
VOLUME OF DISTRIBUTION AT STEADY STATE,2016-2020,37,22670,0.1632
VOLUME OF DISTRIBUTION AT STEADY STATE,2021-2025,23,18711,0.1229
